id,artist,title,album,play_count,release_date,duration,album_art,favorite,timestamp
10733,Charley Crockett,Midnight Cowboy,$10 Cowboy,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/6129bb53d005583ddd40029d678d1808.jpg,0,1714229132
10734,Charley Crockett,Lead The Way,$10 Cowboy,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/6129bb53d005583ddd40029d678d1808.jpg,0,1714228892
10735,Charley Crockett,City Of Roses,$10 Cowboy,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/6129bb53d005583ddd40029d678d1808.jpg,0,1714228673
10736,Charley Crockett,Solitary Road,$10 Cowboy,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/6129bb53d005583ddd40029d678d1808.jpg,0,1714228460
10737,Charley Crockett,Ain't Done Losing Yet,$10 Cowboy,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/6129bb53d005583ddd40029d678d1808.jpg,0,1714228260
10738,Charley Crockett,Diamond In The Rough,$10 Cowboy,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/6129bb53d005583ddd40029d678d1808.jpg,0,1714228059
10739,Charley Crockett,Spade,$10 Cowboy,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/6129bb53d005583ddd40029d678d1808.jpg,0,1714227908
10740,Charley Crockett,Gettin' Tired Again,$10 Cowboy,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/6129bb53d005583ddd40029d678d1808.jpg,0,1714227736
10741,Charley Crockett,Good At Losing,$10 Cowboy,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/6129bb53d005583ddd40029d678d1808.jpg,0,1714227510
10742,Charley Crockett,Hard Luck & Circumstances,$10 Cowboy,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/6129bb53d005583ddd40029d678d1808.jpg,0,1714227324
10743,Charley Crockett,America,$10 Cowboy,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/6129bb53d005583ddd40029d678d1808.jpg,0,1714227119
10744,Charley Crockett,$10 Cowboy,$10 Cowboy,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/6129bb53d005583ddd40029d678d1808.jpg,0,1714226900
10745,Sierra Ferrell,Made Like That,Long Time Coming,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/71f92c7fca6c883ea7f40aebb6b8259a.jpg,0,1714226730
10746,Sierra Ferrell,In Dreams,Long Time Coming,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/71f92c7fca6c883ea7f40aebb6b8259a.jpg,0,1714226566
10747,Sierra Ferrell,Give It Time,Long Time Coming,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/71f92c7fca6c883ea7f40aebb6b8259a.jpg,0,1714226347
10748,Sierra Ferrell,Why’d Ya Do It,Long Time Coming,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/71f92c7fca6c883ea7f40aebb6b8259a.jpg,0,1714226128
